number,rmse_log,params_batch_size,params_gamma,params_lambda_sparse,params_lr,params_mask_type,params_n_a,params_n_d,params_n_independent,params_n_shared,params_n_steps,params_virtual_batch_size,state,user_attrs_mae_usd,user_attrs_mape,user_attrs_rmse_usd
20,0.2164015444697907,2048,1.6180603218573457,0.0,0.007589542798606546,entmax,64,32,3,2,4,256,COMPLETE,29230.63780233306,17.365468576237145,40591.862794820765
22,0.2168659670425765,512,1.6605532609941434,0.001,0.012739804683164161,entmax,64,48,2,1,4,256,COMPLETE,28572.006287457207,16.031550625412976,46112.7785133809
57,0.21696244035247733,512,1.3512624392969996,1e-06,0.0063124609500981406,entmax,24,16,2,2,4,128,COMPLETE,29424.20333904111,17.077358089239354,46143.80732490632
56,0.21774368929814739,512,1.205156139637919,1e-06,0.007747380278709386,entmax,32,16,2,2,4,128,COMPLETE,27063.41784835189,15.865661708938001,42279.53479496542
95,0.21816755773901833,2048,1.317294906103664,1e-05,0.018682573033477676,entmax,64,32,3,2,3,64,COMPLETE,29863.514073202066,17.630794580087727,48013.747685689705
32,0.2181903092943841,512,1.8604331028059187,0.0001,0.01968021629429522,entmax,48,32,2,1,4,256,COMPLETE,25631.40286547518,15.679294053067139,39476.07604531304
11,0.21861595876084416,512,1.6388629889972357,0.001,0.011193473536685159,entmax,16,48,2,1,4,128,COMPLETE,29223.509136879293,16.783336784398124,45958.78183968041
61,0.218621692765842,512,1.2881652007704325,1e-06,0.008552702760681008,entmax,32,16,2,3,4,128,COMPLETE,28253.484963613013,16.497288829349774,42989.32022721189
92,0.21867366046464984,2048,1.2888715107751028,1e-05,0.014392646457004362,entmax,64,32,3,2,3,128,COMPLETE,26559.771136558233,15.868606251754663,43110.07561606445
72,0.21920699280335265,512,1.349480736748066,1e-06,0.008083925126830377,entmax,32,16,2,2,4,128,COMPLETE,28966.092398865596,16.14635854558332,47629.481635504606
55,0.22085624114689578,512,1.2846448007830162,1e-06,0.007072719789967912,entmax,32,16,2,2,5,128,COMPLETE,27300.61868578768,17.232762571936423,42215.528968187995
76,0.22208541110168414,2048,1.236275091545142,1e-05,0.010744052517353626,entmax,48,32,2,3,4,128,COMPLETE,28203.849074272275,15.805544309014289,49418.70208028613
63,0.22316530188890812,512,1.2422902491633072,1e-06,0.007172983965188232,entmax,32,16,2,3,4,128,COMPLETE,29465.576439426382,16.99133320032889,48715.46262204906
30,0.22321594376130852,1024,1.6896191908393339,1e-05,0.014024744280405727,entmax,16,24,2,3,3,256,COMPLETE,28912.31003852741,17.07331018056247,48264.9154184728
23,0.224533825500992,512,1.4914522035645175,0.001,0.009167234807953195,entmax,48,48,2,1,5,256,COMPLETE,29463.464215004293,16.89322400537486,49758.64928430179
66,0.22510585543350164,512,1.3055112382784035,1e-06,0.005291787248873545,entmax,32,16,2,3,4,128,COMPLETE,27757.127862799673,16.75467683383337,43482.15288753279
49,0.2251160980347956,1024,1.3202088289276135,0.001,0.004156726499447846,entmax,32,48,2,1,3,256,COMPLETE,30702.41144049658,17.562387663622776,45826.839034144126
19,0.2286886515583886,512,1.7798433674325143,1e-06,0.010407550826236253,entmax,24,16,1,3,5,128,COMPLETE,31439.269103167822,16.776486169866967,54144.774879369164
93,0.2297196493256683,2048,1.3676495342932997,1e-05,0.016478418717072986,entmax,64,32,3,2,3,128,COMPLETE,29289.846626177237,18.257697363042563,42810.82092554086
27,0.23137505593022617,512,1.9888160223323956,0.001,0.01769457641777773,entmax,16,24,2,2,3,256,COMPLETE,28564.207138270554,17.5452590360757,44157.70509561825
37,0.2359707929842228,2048,1.3973162338432918,1e-05,0.011684617928031984,entmax,16,64,2,1,5,256,COMPLETE,29082.309877996588,16.982970424598438,51376.71576914712
